,dataset,samples,features,regressor,time,acc_score,ll_score,model
186,hypothyroid,3163,25,ExtraTreeClassifier,0.000999451,0.962073325,1.367015931,
187,kr_vs_kp,3196,36,ExtraTreeClassifier,0.001998901,0.948685857,1.849549173,
188,magic,19020,10,ExtraTreeClassifier,0.021998882,0.791377497,7.519517174,
189,mofn_3_7_10,1324,10,ExtraTreeClassifier,0.001024008,0.936555891,2.286757466,
190,mushroom,8124,22,ExtraTreeClassifier,0.002031088,1,2.22E-16,
191,parity5+5,1124,10,ExtraTreeClassifier,0.00098753,0.419928826,20.90788435,
192,phoneme,5404,5,ExtraTreeClassifier,0.003028393,0.85492228,5.229131062,
193,ring,7400,20,ExtraTreeClassifier,0.006999969,0.836216216,5.903365933,
194,spambase,4601,57,ExtraTreeClassifier,0.00599885,0.90443093,3.413945583,
195,twonorm,7400,20,ExtraTreeClassifier,0.004999876,0.836216216,5.903365933,
196,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,1600,1000,ExtraTreesClassifier,0.778997421,0.4975,0.706256067,
197,GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,1600,20,ExtraTreesClassifier,0.280003786,0.565,0.685938437,
198,GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,1600,20,ExtraTreesClassifier,0.267023563,0.635,0.740971366,
199,GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,1600,20,ExtraTreesClassifier,0.251000643,0.5725,0.805225157,
200,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,1600,20,ExtraTreesClassifier,0.250011444,0.6125,0.674813841,
201,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,1600,20,ExtraTreesClassifier,0.287998438,0.625,0.652405308,
202,Hill_Valley_with_noise,1212,100,ExtraTreesClassifier,0.347029209,0.603960396,0.716468788,
203,Hill_Valley_without_noise,1212,100,ExtraTreesClassifier,0.348030567,0.580858086,0.758265068,
204,adult,48842,14,ExtraTreesClassifier,3.449023247,0.84227336,0.46265053,
205,agaricus_lepiota,8145,22,ExtraTreesClassifier,0.178997755,1,0.000158942,
206,chess,3196,36,ExtraTreesClassifier,0.195037365,0.987484355,0.060938506,
207,churn,5000,20,ExtraTreesClassifier,0.367998362,0.9384,0.20751809,
208,clean2,6598,168,ExtraTreesClassifier,0.730995893,0.995757576,0.037293401,
209,coil2000,9822,85,ExtraTreesClassifier,1.267001629,0.921824104,0.842266083,
210,credit_g,1000,20,ExtraTreesClassifier,0.156030178,0.768,0.484631632,
211,dis,3772,29,ExtraTreesClassifier,0.157977581,0.985153765,0.033779872,
212,flare,1066,10,ExtraTreesClassifier,0.102022886,0.823970037,2.843762934,
213,german,1000,20,ExtraTreesClassifier,0.151032448,0.744,0.506777496,
214,hypothyroid,3163,25,ExtraTreesClassifier,0.152029991,0.983565107,0.052505532,
215,kr_vs_kp,3196,36,ExtraTreesClassifier,0.183026552,0.989987484,0.054244646,
216,magic,19020,10,ExtraTreesClassifier,1.476029158,0.875709779,0.314952876,
217,mofn_3_7_10,1324,10,ExtraTreesClassifier,0.108018398,0.990936556,0.08665358,
218,mushroom,8124,22,ExtraTreesClassifier,0.164340496,1,3.47E-05,
219,parity5+5,1124,10,ExtraTreesClassifier,0.164147139,0.466192171,0.661289434,
220,phoneme,5404,5,ExtraTreesClassifier,0.319028616,0.910436714,0.249598607,
221,ring,7400,20,ExtraTreesClassifier,0.61500144,0.972972973,0.18969466,
222,spambase,4601,57,ExtraTreesClassifier,0.520998716,0.958297133,0.175109917,
223,twonorm,7400,20,ExtraTreesClassifier,0.558001041,0.971891892,0.195011905,
224,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,1600,1000,GaussianNB,0.012024403,0.47,4.326215373,
225,GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,1600,20,GaussianNB,0.000999928,0.505,0.713184347,
226,GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,1600,20,GaussianNB,0,0.465,0.858344323,
227,GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,1600,20,GaussianNB,0.001000404,0.4875,0.798374632,
228,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,1600,20,GaussianNB,0.000972271,0.4725,0.793059291,
229,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,1600,20,GaussianNB,0.000999689,0.495,0.759589193,
230,Hill_Valley_with_noise,1212,100,GaussianNB,0.001021624,0.508250825,6.169924858,
231,Hill_Valley_without_noise,1212,100,GaussianNB,0.001999617,0.531353135,3.301529999,
232,adult,48842,14,GaussianNB,0.008971691,0.794201949,0.948288832,
233,agaricus_lepiota,8145,22,GaussianNB,0.003002644,0.924889543,0.646369702,
234,chess,3196,36,GaussianNB,0.002030611,0.634543179,2.988131814,
235,churn,5000,20,GaussianNB,0.001998425,0.8632,0.38608702,
236,clean2,6598,168,GaussianNB,0.008030176,0.882424242,2.513253463,
237,coil2000,9822,85,GaussianNB,0.007003069,0.120928339,24.25007278,
238,credit_g,1000,20,GaussianNB,0.00103426,0.708,0.78338057,
239,dis,3772,29,GaussianNB,0.001029968,0.242841994,24.94384529,
240,flare,1066,10,GaussianNB,0,0.808988764,0.835388152,
241,german,1000,20,GaussianNB,0.001000643,0.74,0.589185492,
242,hypothyroid,3163,25,GaussianNB,0.001023293,0.231352718,18.56214786,
243,kr_vs_kp,3196,36,GaussianNB,0.002001286,0.627033792,5.540413917,
244,magic,19020,10,GaussianNB,0.002999783,0.726603575,1.043887448,
245,mofn_3_7_10,1324,10,GaussianNB,0.000999689,0.870090634,0.191340179,
246,mushroom,8124,22,GaussianNB,0.001999855,0.869030034,0.692172845,
247,parity5+5,1124,10,GaussianNB,0,0.427046263,0.705275147,
248,phoneme,5404,5,GaussianNB,0.001000166,0.752035529,0.644877451,
249,ring,7400,20,GaussianNB,0.002025366,0.979459459,0.064147251,
250,spambase,4601,57,GaussianNB,0.001973152,0.821025195,4.669965669,
251,twonorm,7400,20,GaussianNB,0.001007318,0.98,0.057017507,
252,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,1600,1000,GradientBoostingClassifier,3.326058865,0.505,0.744422646,
253,GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,1600,20,GradientBoostingClassifier,0.136894464,0.5925,0.667383365,
254,GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,1600,20,GradientBoostingClassifier,0.124001741,0.5525,0.698161584,
255,GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,1600,20,GradientBoostingClassifier,0.125035286,0.495,0.74003823,
256,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,1600,20,GradientBoostingClassifier,0.130003214,0.52,0.712841109,
257,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,1600,20,GradientBoostingClassifier,0.129029036,0.645,0.646735478,
258,Hill_Valley_with_noise,1212,100,GradientBoostingClassifier,6.423112392,0.557755776,0.716577106,
259,Hill_Valley_without_noise,1212,100,GradientBoostingClassifier,6.58125782,0.564356436,0.710279602,
260,adult,48842,14,GradientBoostingClassifier,4.410258055,0.866431906,0.296796466,
261,agaricus_lepiota,8145,22,GradientBoostingClassifier,0.446994066,1,0.003427128,
262,chess,3196,36,GradientBoostingClassifier,0.215007305,0.974968711,0.091891795,
263,churn,5000,20,GradientBoostingClassifier,1.750214577,0.952,0.162635412,
264,clean2,6598,168,GradientBoostingClassifier,4.219443798,1,1.12E-05,
265,coil2000,9822,85,GradientBoostingClassifier,1.833102942,0.939332248,0.206016507,
266,credit_g,1000,20,GradientBoostingClassifier,0.199132204,0.788,0.47091133,
267,dis,3772,29,GradientBoostingClassifier,0.404954433,0.987274655,0.035444961,
268,flare,1066,10,GradientBoostingClassifier,0.078999758,0.846441948,0.414481375,
269,german,1000,20,GradientBoostingClassifier,0.174031734,0.784,0.511663187,
270,hypothyroid,3163,25,GradientBoostingClassifier,0.334988594,0.988621997,0.039377378,
271,kr_vs_kp,3196,36,GradientBoostingClassifier,0.216956377,0.979974969,0.08043867,
272,magic,19020,10,GradientBoostingClassifier,9.639316797,0.871293375,0.323834481,
273,mofn_3_7_10,1324,10,GradientBoostingClassifier,0.09599781,1,0.087022192,
