algorithm,dataset,target_noise,data_group,symbolic_solution_rate_(%),accuracy_solution,rmse_test,log_mse_test
RILSROLS,feynman_I_14_3,0.0,Feynman,100.0,1.0,7.743350145210462e-15,0.0
RILSROLS,feynman_I_14_3,0.001,Feynman,0.0,1.0,7.814505660313648e-15,0.0
RILSROLS,feynman_I_14_4,0.0,Feynman,100.0,1.0,5.750958032398769e-15,0.0
RILSROLS,feynman_I_14_4,0.001,Feynman,0.0,1.0,0.004182429713336607,1.7492565311164618e-05
RILSROLS,feynman_I_15_10,0.0,Feynman,0.0,1.0,0.0003949512656074158,1.5598648999352884e-07
RILSROLS,feynman_I_15_10,0.001,Feynman,0.0,1.0,0.004621871660886251,2.1361469491843766e-05
RILSROLS,feynman_I_15_3t,0.0,Feynman,0.0,1.0,0.008019586742251878,6.431170347467611e-05
RILSROLS,feynman_I_15_3t,0.001,Feynman,0.0,0.5,inf,inf
RILSROLS,feynman_I_15_3x,0.0,Feynman,0.0,1.0,0.019569643364722347,0.0003828976267691483
RILSROLS,feynman_I_15_3x,0.001,Feynman,0.0,0.5,inf,inf
RILSROLS,feynman_I_16_6,0.0,Feynman,0.0,0.0,0.09524456419261734,0.009030627866141923
RILSROLS,feynman_I_16_6,0.001,Feynman,0.0,0.0,0.0616837942683423,0.003797670188712272
RILSROLS,feynman_I_18_12,0.0,Feynman,100.0,1.0,2.5666482146313e-15,0.0
RILSROLS,feynman_I_18_12,0.001,Feynman,0.0,1.0,2.5678129440756937e-15,0.0
RILSROLS,feynman_I_18_14,0.0,Feynman,100.0,1.0,9.574718175859947e-15,0.0
RILSROLS,feynman_I_18_14,0.001,Feynman,0.0,1.0,9.536565530921605e-15,0.0
RILSROLS,feynman_I_18_4,0.0,Feynman,40.0,1.0,0.009656965950616084,9.325264320852455e-05
RILSROLS,feynman_I_18_4,0.001,Feynman,0.0,1.0,0.007483715420752906,5.600442822164212e-05
RILSROLS,feynman_I_24_6,0.0,Feynman,100.0,1.0,8.252693061322404e-15,0.0
RILSROLS,feynman_I_24_6,0.001,Feynman,0.0,1.0,0.0023968244893018318,5.7447511313729455e-06
RILSROLS,feynman_I_25_13,0.0,Feynman,100.0,1.0,2.8446142266490105e-16,0.0
RILSROLS,feynman_I_25_13,0.001,Feynman,0.0,1.0,2.8867277120553453e-16,0.0
RILSROLS,feynman_I_27_6,0.0,Feynman,100.0,1.0,1.5081624843498912e-16,0.0
RILSROLS,feynman_I_27_6,0.001,Feynman,0.0,1.0,1.4953307025194507e-16,0.0
RILSROLS,feynman_I_29_16,0.0,Feynman,0.0,0.0,0.3919829666368752,0.1429313892664114
RILSROLS,feynman_I_29_16,0.001,Feynman,0.0,0.0,0.34409608265218683,0.11190098278226426
RILSROLS,feynman_I_29_4,0.0,Feynman,100.0,1.0,3.8663761411618513e-16,0.0
RILSROLS,feynman_I_29_4,0.001,Feynman,0.0,1.0,3.8491117140212967e-16,0.0
RILSROLS,feynman_I_30_3,0.0,Feynman,0.0,0.0,0.2625014118513023,0.06663662285446975
RILSROLS,feynman_I_30_3,0.001,Feynman,0.0,0.5,0.4739687714499874,0.20265214625388284
RILSROLS,feynman_I_32_17,0.0,Feynman,0.0,0.0,4.325048476335372,2.9809254070934768
RILSROLS,feynman_I_32_17,0.001,Feynman,0.0,0.0,12.688203592841838,5.08753775582161
RILSROLS,feynman_I_32_5,0.0,Feynman,90.0,1.0,3.530679136478073e-08,1.332267629550187e-15
RILSROLS,feynman_I_32_5,0.001,Feynman,0.0,1.0,0.01225275525729309,0.0001501187430127177
RILSROLS,feynman_I_34_1,0.0,Feynman,100.0,1.0,9.206688018283106e-16,0.0
RILSROLS,feynman_I_34_1,0.001,Feynman,0.0,1.0,9.793697605198874e-16,0.0
RILSROLS,feynman_I_34_14,0.0,Feynman,0.0,1.0,0.00011805396331564216,1.3936738110815064e-08
RILSROLS,feynman_I_34_14,0.001,Feynman,0.0,1.0,0.0021407692983060347,4.582882687075456e-06
RILSROLS,feynman_I_34_27,0.0,Feynman,100.0,1.0,3.196540527729766e-08,1.110223024625156e-15
RILSROLS,feynman_I_34_27,0.001,Feynman,0.0,1.0,0.00014108281440635762,1.9904360406080882e-08
RILSROLS,feynman_I_34_8,0.0,Feynman,100.0,1.0,3.9719032697911766e-15,0.0
