algorithm,dataset,target_noise,data_group,symbolic_solution_rate_(%),accuracy_solution,rmse_test,log_mse_test
RILSROLS,feynman_II_4_23,0.1,Feynman,100.0,1.0,0.0004059355711680607,1.647836744512502e-07
RILSROLS,feynman_II_6_11,0.0,Feynman,100.0,1.0,4.410949389681952e-10,0.0
RILSROLS,feynman_II_6_11,0.001,Feynman,100.0,1.0,1.0179961500261789e-06,1.0362821711845841e-12
RILSROLS,feynman_II_6_11,0.01,Feynman,100.0,1.0,1.244363793363973e-05,1.5484413750011178e-10
RILSROLS,feynman_II_6_11,0.1,Feynman,80.0,1.0,0.00012488530927268952,1.5596340319725472e-08
RILSROLS,feynman_II_6_15a,0.0,Feynman,0.0,0.0,0.018559407699243333,0.0003443923043085905
RILSROLS,feynman_II_6_15a,0.001,Feynman,0.0,0.0,0.016406902673954237,0.0002691502311792519
RILSROLS,feynman_II_6_15a,0.01,Feynman,0.0,0.5,0.012347254498788658,0.00015244307362196163
RILSROLS,feynman_II_6_15a,0.1,Feynman,0.0,0.0,0.04745638409399859,0.0022495761963132023
RILSROLS,feynman_II_6_15b,0.0,Feynman,0.0,1.0,7.03649794538724e-10,0.0
RILSROLS,feynman_II_6_15b,0.001,Feynman,0.0,1.0,1.926364469688054e-06,3.710809437500238e-12
RILSROLS,feynman_II_6_15b,0.01,Feynman,10.0,1.0,3.5684688207934664e-05,1.2733969426356443e-09
RILSROLS,feynman_II_6_15b,0.1,Feynman,10.0,0.0,0.007652902690703132,5.856520461830844e-05
RILSROLS,feynman_II_8_31,0.0,Feynman,100.0,1.0,5.708584796919623e-15,0.0
RILSROLS,feynman_II_8_31,0.001,Feynman,100.0,1.0,0.0016441965494657998,2.7033786392251002e-06
RILSROLS,feynman_II_8_31,0.01,Feynman,80.0,1.0,0.016953125146972853,0.0002873671583515804
RILSROLS,feynman_II_8_31,0.1,Feynman,0.0,0.0,1.1309706931778207,0.8237783065861706
RILSROLS,feynman_II_8_7,0.0,Feynman,100.0,1.0,7.338946756039377e-09,0.0
RILSROLS,feynman_II_8_7,0.001,Feynman,100.0,1.0,3.156331287491082e-06,9.962475289121754e-12
RILSROLS,feynman_II_8_7,0.01,Feynman,90.0,1.0,3.1576342746499406e-05,9.970653187000073e-10
RILSROLS,feynman_II_8_7,0.1,Feynman,100.0,1.0,0.0003158480439431656,9.975998196187017e-08
RILSROLS,feynman_I_10_7,0.0,Feynman,10.0,1.0,0.006280815209585305,3.944786161972422e-05
RILSROLS,feynman_I_10_7,0.001,Feynman,0.0,1.0,0.007101607363289295,5.043155544996247e-05
RILSROLS,feynman_I_10_7,0.01,Feynman,0.0,1.0,0.014952648389124967,0.0002235567031867171
RILSROLS,feynman_I_10_7,0.1,Feynman,0.0,0.0,0.18969400932258584,0.035351523225789466
RILSROLS,feynman_I_11_19,0.0,Feynman,100.0,1.0,5.060785766988954e-15,0.0
RILSROLS,feynman_I_11_19,0.001,Feynman,70.0,1.0,0.0026654480651604083,7.104588150396419e-06
RILSROLS,feynman_I_11_19,0.01,Feynman,30.0,1.0,0.058039169347782596,0.0033628843392370256
RILSROLS,feynman_I_11_19,0.1,Feynman,0.0,0.0,2.2299164718299167,1.7871701998453209
RILSROLS,feynman_I_12_1,0.0,Feynman,100.0,1.0,2.1298180064259244e-15,0.0
RILSROLS,feynman_I_12_1,0.001,Feynman,100.0,1.0,2.1298180064259244e-15,0.0
RILSROLS,feynman_I_12_1,0.01,Feynman,90.0,1.0,2.1350237105468903e-15,0.0
RILSROLS,feynman_I_12_1,0.1,Feynman,20.0,0.0,0.5402678498846364,0.25610575898308663
RILSROLS,feynman_I_12_11,0.0,Feynman,100.0,1.0,9.837195117618838e-15,0.0
RILSROLS,feynman_I_12_11,0.001,Feynman,100.0,1.0,1.003916601394833e-14,0.0
RILSROLS,feynman_I_12_11,0.01,Feynman,70.0,1.0,0.03649936278593486,0.0013313168880481005
RILSROLS,feynman_I_12_11,0.1,Feynman,0.0,0.0,2.064039312544131,1.660180128914363
RILSROLS,feynman_I_12_2,0.0,Feynman,90.0,1.0,2.069959855223776e-09,0.0
RILSROLS,feynman_I_12_2,0.001,Feynman,100.0,1.0,1.2023534128907172e-05,1.4456547069506592e-10
RILSROLS,feynman_I_12_2,0.01,Feynman,90.0,1.0,0.00011229455773417868,1.2610067577230653e-08
RILSROLS,feynman_I_12_2,0.1,Feynman,100.0,1.0,0.0011438501567631251,1.30839232518635e-06
RILSROLS,feynman_I_12_4,0.0,Feynman,100.0,1.0,6.470765110295991e-10,0.0
RILSROLS,feynman_I_12_4,0.001,Feynman,100.0,1.0,1.6868461060923427e-06,2.845501612110228e-12
RILSROLS,feynman_I_12_4,0.01,Feynman,90.0,1.0,1.3371729383293585e-05,1.7880319445673557e-10
RILSROLS,feynman_I_12_4,0.1,Feynman,100.0,1.0,0.00013293235117264708,1.767100983248563e-08
RILSROLS,feynman_I_12_5,0.0,Feynman,100.0,1.0,2.1275326383645277e-15,0.0
RILSROLS,feynman_I_12_5,0.001,Feynman,100.0,1.0,2.1275326383645277e-15,0.0
RILSROLS,feynman_I_12_5,0.01,Feynman,90.0,1.0,2.1287813597585017e-15,0.0
RILSROLS,feynman_I_12_5,0.1,Feynman,10.0,0.0,0.5097951252604018,0.23102526463826425
RILSROLS,feynman_I_13_12,0.0,Feynman,80.0,1.0,3.400078862826047e-15,0.0
RILSROLS,feynman_I_13_12,0.001,Feynman,80.0,1.0,0.0014160821372854405,2.0052866090112737e-06
RILSROLS,feynman_I_13_12,0.01,Feynman,30.0,1.0,0.050362099405896706,0.002533129972049513
RILSROLS,feynman_I_13_12,0.1,Feynman,0.0,0.0,0.4485029186928047,0.18328348405684727
RILSROLS,feynman_I_13_4,0.0,Feynman,100.0,1.0,1.2566087051182008e-14,0.0
RILSROLS,feynman_I_13_4,0.001,Feynman,90.0,1.0,0.0066529314090395825,4.4260516822282846e-05
RILSROLS,feynman_I_13_4,0.01,Feynman,0.0,1.0,0.2421469211720037,0.056980466583962004
RILSROLS,feynman_I_13_4,0.1,Feynman,0.0,0.0,4.376733371752383,3.0034918404655317
RILSROLS,feynman_I_14_3,0.0,Feynman,100.0,1.0,7.743350145210462e-15,0.0
RILSROLS,feynman_I_14_3,0.001,Feynman,100.0,1.0,7.743350145210462e-15,0.0
RILSROLS,feynman_I_14_3,0.01,Feynman,70.0,1.0,7.754431664197064e-15,0.0
RILSROLS,feynman_I_14_3,0.1,Feynman,0.0,0.0,2.2471639170692774,1.8000162331720448
RILSROLS,feynman_I_14_4,0.0,Feynman,100.0,1.0,5.750958032398769e-15,0.0
RILSROLS,feynman_I_14_4,0.001,Feynman,100.0,1.0,0.0012556479186231404,1.5766504527310478e-06
RILSROLS,feynman_I_14_4,0.01,Feynman,70.0,1.0,0.020094710698842725,0.0004037158938408863
RILSROLS,feynman_I_14_4,0.1,Feynman,0.0,0.0,1.4181338425569638,1.1023066545554874
RILSROLS,feynman_I_15_10,0.0,Feynman,0.0,1.0,0.006115717892131595,3.7401305898634246e-05
RILSROLS,feynman_I_15_10,0.001,Feynman,0.0,1.0,0.012155368809854428,0.00014774207650544317
RILSROLS,feynman_I_15_10,0.01,Feynman,0.0,1.0,0.025098127788876733,0.0006297177046879602
RILSROLS,feynman_I_15_10,0.1,Feynman,0.0,0.0,0.28558058613396275,0.07840099573391203
RILSROLS,feynman_I_15_3t,0.0,Feynman,0.0,1.0,0.009628269666757566,9.269928006468149e-05
RILSROLS,feynman_I_15_3t,0.001,Feynman,0.0,1.0,0.009738846305883788,9.484062985496353e-05
RILSROLS,feynman_I_15_3t,0.01,Feynman,0.0,1.0,0.013099790132855288,0.00017158977915654529
RILSROLS,feynman_I_15_3t,0.1,Feynman,0.0,0.0,0.1791130932201866,0.03157763696723487
RILSROLS,feynman_I_15_3x,0.0,Feynman,0.0,1.0,0.025685593163068704,0.000659532156983581
RILSROLS,feynman_I_15_3x,0.001,Feynman,0.0,1.0,0.029633331413169192,0.0008777489962585068
RILSROLS,feynman_I_15_3x,0.01,Feynman,0.0,1.0,0.035668631506096185,0.0012714426476437603
RILSROLS,feynman_I_15_3x,0.1,Feynman,0.0,0.0,0.36828054426473406,0.1271880555081523
RILSROLS,feynman_I_16_6,0.0,Feynman,0.0,0.0,0.0724322160812575,0.005232711381258107
