label	label2	algorithm	dataset	target_noise	data_group	symbolic_solution_rate_(%)	accuracy_solution	rmse_test	log_mse_test
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_II_13_34	0.001	Feynman	0	1	0.030713605475192	0.000942880909341
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_II_13_34	0.01	Feynman	0	1	0.041327349558446	0.001706492933854
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_II_13_34	0.1	Feynman	0	1	0.046166253313761	0.002129054898337
AFP_0_Feynman	AFP_0	AFP	feynman_II_15_4	0	Feynman	87.5	1	0.000293875310018	8.64E-08
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_II_15_4	0.001	Feynman	60	1	0.000122098782878	1.49E-08
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_II_15_4	0.01	Feynman	50	1	0.001197996123138	1.44E-06
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_II_15_4	0.1	Feynman	10	1	0.016963641448898	0.000287723734763
AFP_0_Feynman	AFP_0	AFP	feynman_II_15_5	0	Feynman	62.5	1	0.000610704187028	3.73E-07
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_II_15_5	0.001	Feynman	60	1	0.000101490582585	1.03E-08
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_II_15_5	0.01	Feynman	40	1	0.001698986247826	2.89E-06
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_II_15_5	0.1	Feynman	0	1	0.022471451019967	0.000504838658461
AFP_0_Feynman	AFP_0	AFP	feynman_II_21_32	0	Feynman	0	0	0.006141353905466	3.77E-05
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_II_21_32	0.001	Feynman	0	0	0.008292330651542	6.88E-05
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_II_21_32	0.01	Feynman	0	0	0.00695019185127	4.83E-05
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_II_21_32	0.1	Feynman	0	0	0.006250698494379	3.91E-05
AFP_0_Feynman	AFP_0	AFP	feynman_II_24_17	0	Feynman	0	1	0.018213724354713	0.000331684741403
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_II_24_17	0.001	Feynman	0	1	0.020360977044904	0.000414483476078
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_II_24_17	0.01	Feynman	0	1	0.020321430523477	0.000412875293785
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_II_24_17	0.1	Feynman	0	0.5	0.027438177994264	0.000752570359521
AFP_0_Feynman	AFP_0	AFP	feynman_II_27_16	0	Feynman	87.5	1	4.16E-14	0
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_II_27_16	0.001	Feynman	60	1	4.14E-14	0
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_II_27_16	0.01	Feynman	30	1	0.023410712702237	0.000547911338391
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_II_27_16	0.1	Feynman	20	1	0.379728374669427	0.134700143082496
AFP_0_Feynman	AFP_0	AFP	feynman_II_27_18	0	Feynman	87.5	1	1.14E-14	0
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_II_27_18	0.001	Feynman	90	1	1.17E-14	0
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_II_27_18	0.01	Feynman	60	1	0.005251581803265	2.76E-05
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_II_27_18	0.1	Feynman	40	1	0.062530604127012	0.003902451971962
AFP_0_Feynman	AFP_0	AFP	feynman_II_2_42	0	Feynman	12.5	0	1.5556343453153	1.22964002953185
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_II_2_42	0.001	Feynman	20	0.5	0.206585842170243	0.0417921255687
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_II_2_42	0.01	Feynman	30	0	0.967601322359172	0.660754310440267
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_II_2_42	0.1	Feynman	10	0	1.92295645214403	1.54708612224973
AFP_0_Feynman	AFP_0	AFP	feynman_II_34_11	0	Feynman	37.5	1	0.000597137510144	3.57E-07
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_II_34_11	0.001	Feynman	40	1	0.000447517153655	2.00E-07
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_II_34_11	0.01	Feynman	10	1	0.001489021467575	2.22E-06
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_II_34_11	0.1	Feynman	30	1	0.010493471702557	0.000110106886387
AFP_0_Feynman	AFP_0	AFP	feynman_II_34_2	0	Feynman	37.5	1	0.000273064213487	7.46E-08
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_II_34_2	0.001	Feynman	60	1	0.000196145518987	3.85E-08
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_II_34_2	0.01	Feynman	60	1	0.00260430195546	6.78E-06
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_II_34_2	0.1	Feynman	70	1	0.01732430269734	0.000300086433511
AFP_0_Feynman	AFP_0	AFP	feynman_II_34_29a	0	Feynman	62.5	1	0.000586728831691	3.44E-07
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_II_34_29a	0.001	Feynman	40	1	0.000599474502041	3.59E-07
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_II_34_29a	0.01	Feynman	50	1	7.29E-05	5.31E-09
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_II_34_29a	0.1	Feynman	40	1	0.001013536981311	1.03E-06
AFP_0_Feynman	AFP_0	AFP	feynman_II_34_29b	0	Feynman	0	0	28.9206688793156	6.73030793002587
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_II_34_29b	0.001	Feynman	0	0	29.0790613763689	6.74121865467673
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_II_34_29b	0.01	Feynman	10	0	18.9186557977261	5.88308708836403
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_II_34_29b	0.1	Feynman	0	0	37.0458269781481	7.22503981521856
