algorithm,dataset,target_noise,data_group,symbolic_solution_rate_(%),accuracy_solution,rmse_test,log_mse_test
AFP,feynman_II_24_17,0.01,Feynman,1000.0,1.0,0.020321430523476597,0.0004128752937850588
AFP,feynman_II_24_17,0.1,Feynman,1000.0,0.5,0.02743817799426438,0.0007525703595207344
AFP,feynman_II_27_16,0.0,Feynman,800.0,1.0,4.156540714859069e-14,0.0
AFP,feynman_II_27_16,0.001,Feynman,1000.0,1.0,4.143381438727088e-14,0.0
AFP,feynman_II_27_16,0.01,Feynman,1000.0,1.0,0.02341071270223725,0.0005479113383910115
AFP,feynman_II_27_16,0.1,Feynman,1000.0,1.0,0.3797283746694275,0.13470014308249673
AFP,feynman_II_27_18,0.0,Feynman,800.0,1.0,1.1419192192382272e-14,0.0
AFP,feynman_II_27_18,0.001,Feynman,1000.0,1.0,1.1703364668199125e-14,0.0
AFP,feynman_II_27_18,0.01,Feynman,1000.0,1.0,0.005251581803265372,2.7578731139658276e-05
AFP,feynman_II_27_18,0.1,Feynman,1000.0,1.0,0.06253060412701178,0.0039024519719622285
AFP,feynman_II_2_42,0.0,Feynman,800.0,0.0,1.5556343453153059,1.2296400295318572
AFP,feynman_II_2_42,0.001,Feynman,1000.0,0.5,0.20658584217024395,0.041792125568700204
AFP,feynman_II_2_42,0.01,Feynman,1000.0,0.0,0.9676013223591727,0.6607543104402679
AFP,feynman_II_2_42,0.1,Feynman,1000.0,0.0,1.9229564521440363,1.5470861222497372
AFP,feynman_II_34_11,0.0,Feynman,800.0,1.0,0.0005971375101440741,3.565731425006416e-07
AFP,feynman_II_34_11,0.001,Feynman,1000.0,1.0,0.0004475171536550319,2.002715828027169e-07
AFP,feynman_II_34_11,0.01,Feynman,1000.0,1.0,0.0014890214675745029,2.2171824730351175e-06
AFP,feynman_II_34_11,0.1,Feynman,1000.0,1.0,0.01049347170255737,0.00011010688638656353
AFP,feynman_II_34_2,0.0,Feynman,800.0,1.0,0.0002730642134870592,7.456406192051115e-08
AFP,feynman_II_34_2,0.001,Feynman,1000.0,1.0,0.00019614551898682313,3.8473063771901846e-08
AFP,feynman_II_34_2,0.01,Feynman,1000.0,1.0,0.0026043019554599593,6.782365674836518e-06
AFP,feynman_II_34_2,0.1,Feynman,1000.0,1.0,0.017324302697339807,0.0003000864335110099
AFP,feynman_II_34_29a,0.0,Feynman,800.0,1.0,0.0005867288316913266,3.4425066267440773e-07
AFP,feynman_II_34_29a,0.001,Feynman,1000.0,1.0,0.000599474502040948,3.593696141086192e-07
AFP,feynman_II_34_29a,0.01,Feynman,1000.0,1.0,7.28731643790718e-05,5.310498027210312e-09
AFP,feynman_II_34_29a,0.1,Feynman,1000.0,1.0,0.0010135369813112827,1.0272566847764907e-06
